,Unnamed: 0,video_id,title,channel_title,category_id,publish_time,tags,views,likes,dislikes,comment_count,description
10,10,FdTAcfEtBZY,"КОРОЧЕ ГОВОРЯ, РЕШИЛ СНЯТЬ КОРОЧЕ ГОВОРЯ",Просто Шурик,24,2018-03-06T15:00:01.000Z,короче говоря решил снять короче говоря|КОРОЧЕ ГОВОРЯ|room factrory|тим тим|короче говоря заблокировали вк|рум фактори|парень|koroche govorya|смешно|студент|универ|фильм|сериал|печеньки|блокировка|заблокировали|украина|просто шурик,83015,4388,265,283,"Короче говоря, решил снять короче говоря.
Канал друга - https://www.youtube.com/channel/UC7tj6AIw2hyRxvrk9pt7jNg
По вопросам сотрудничества ► alexmancop@gmail.com
● Все типы людей - https://www.youtube.com/playlist?list=PL2seYN9GltE8loLzJe9Bdf1P-x67uOCQd

► Vk - http://vk.com/teranit
► Instagram - https://instagram.com/teran1t/
► Twitter - https://twitter.com/TERRRAN1T"
11,11,LQbI7MThgXA,Лук и чеснок будет как в сказке после этих действий!,УМНОЕ ХОЗЯЙСТВО,27,2019-04-08T14:03:52.000Z,умное хозяйство|огород|уход|выращивание|растения|луковая муха|лук пожелтел|что делать с луком весной|что делать с чесноком весной|что делать весной с луком и чесноком|весеннее удобрение для лука|весеннее удобрение для чеснока|лук и чеснок весной|лук весна|чеснок весной|чеснок весенняя подкормка|чеснок весной уход|весенний лук|почему желтеют листья у лука и чеснока,724130,6384,642,189,"Что главное сделать в первую очередь луку весной? Как предотвратить некоторые заболевания? Как избавиться от луковой мухи? Если у вас такие или и другие вопросы возникают по выращиванию и уходу за луком, тогда смотрите видео.
Купить качественные семена, почвосмеси, действенные средства защиты растений и удобрения вы можете в ТД Лето. по адресу с. Софиевская Борщаговка, ул. Никольская, 1 или в интернет магазине https://leto.ua"
12,12,uFeYkr2NHv4,Я являюсь самозанятым уже пять лет. Я не плачу налогов. Никаких.,Белая Рысь,29,2018-11-22T19:00:04.000Z,#БелаяРысь777|Белая Рысь|#Новинка|#Тренд|#1|Путин|Коррупция|Коррупция в России|Россия|#Путин|#Коррупция|#Коррупция в России|#Россия|самозанятый|налоги|товар|магазин|подарок|храм|бюджет|больница|фильмы|Крым|зелёнка|развлечения|медицина|газ|лес|#самозанятый|#налоги|#товар|#магазин|#подарок|#храм|#бюджет|#больница|#фильмы|#Крым|#зелёнка|#развлечения|#медицина|#газ|#лес,188309,28033,359,4166,"Я являюсь самозанятым уже пять лет. Я не плачу налогов. 
Никаких. (комментарий подписчика)
1. Ролики канала ""Белая Рысь"", в том числе и ролики, про которые говорилось в этом видео, теперь для удобства ВСЕ на одной  странице: https://goo.gl/RwNNAN
2.  Новый канал ""Белая Рысь плюс"" (Ваши комментарии, мои стримы и не только): https://goo.gl/JdUJ76
3. канал ""Смысл Жизни"" (аудио рассказы): https://www.youtube.com/channel/UCwEgRPAJcMtCFeGpOWqxYkg
4.

Вся остальная информация тут:  https://goo.gl/QaknyP (очень рекомендуется к прочтению - там и про просмотры, и про Ваши исчезающие комментарии, и про поддержку канала, и ещё много чего!)

Внимание! 
Канал не призывает ни к каким действиям, кроме комментариев, подписки на канал, лайков и распространения роликов! Недостоверной общественно значимой информации, распространяемой под видом достоверных сообщений и создающей угрозу безопасности, в роликах канала ""Белая Рысь"" не имеется. Все источники, используемые в качестве материалов для роликов указаны. Я не имею причин не доверять этим источникам, и если там вдруг имеется какая либо недостоверная информация, проверить которую лично у меня нет возможности, то значит меня ввели в заблуждение.  Никакого оскорбления или явного неуважения к органам власти в роликах канала не имеется, и если Вам что-то показалось, то значит это Ваши домыслы, а также это Ваше личное мнение, и автор не несёт ответственности за Ваши бурные фантазии! Все совпадения случайны. )

ОГРОМНЕЙШЕЕ ВАМ СПАСИБО ЗА ПОНИМАНИЕ И ПОДДЕРЖКУ!

💗 Likecoin – криптовалюта за лайки: https://likecoin.pro/@makler0008/gzz6/eww3"
13,13,E-KAnuL9mtI,"Q&A #1 | Как я придумала свой ник, кулстори про психиатра и первые заказы на картинки",Asinastra,26,2017-10-25T14:31:06.000Z,art|illustration|animation|q&a|вопросы|арт|рисунок|художник|как придумать ник|психиатр|анимация|иллюстрация|комишн|комишен|comission|deviantart|рисование|наклейки|стикеры,545768,21557,165,813,"Мараю лист молескина и параллельно отвечаю на всякие вопросы. Люблю вопросы, ХЕХЕ
Алсо, иллюстрацию про которую я рассказывала в видео я (внезапно) удалила с девиантарта еще кучу лет назад, поэтому ее можно попросмотреть тут - https://goo.gl/PkHejm

Задать новый вопрос можно под этим видосом или тут: https://goo.gl/ZMdtEr


Паблик : https://vk.com/asinastra
Инстаграм : https://instagram.com/miumauebin"
14,14,c9S6FRcwWnY,"Կարմիր բլուր, Սերիա 109 / Red Hill / Karmir blur",TV ДЛЯ ДЕТИШЕК,1,2018-04-27T13:58:21.000Z,кармир блур|karmir blur|կարմիր բլուր|կարմիր բլուր 109|кармир блур 109|karmir blur 109|серия|seria,126012,204,40,16,"Подписывайтесь  на канал и ставьте лайки
Приятного просмотра!
songs  Dagi (DAVtyan Music ) & Yuro - Ove Na"
15,15,fAEwRHVGFxU,"ЛУЧШИЕ И ХУДШИЕ НАРЯДЫ ПРЕМИИ МУЗ ТВ И КИНОТАВР | БУЗОВА, СОБЧАК, НЮША, ЛОБОДА, ДАКОТА",Alina Charova,22,2019-06-10T20:38:09.000Z,звезды|лучшие и худшие|наряды|бузова|дакота|нюша|лобода|тренды|антитренды|что в моде|красная дорожка|что носят|стиль звезд|собчак,429818,10355,941,739,"Обсуждаем самые интересные наряды с Премии Муз-ТВ и Кинотавр 2019, которые выбрали знаменитости
я в Инстаграм https://www.instagram.com/alinacharova 
я ВКонтакте https://vk.com/alinacharova 
Мой сайт http://alinacharova.ru
Группа ВК https://vk.com/alinacharovapublic
_____________
Привет! Меня зовут Алина, я финалистка конкурса ""Мисс Россия 2016"" я считаю, что для того, чтобы круто выглядеть не нужно тратить много денег. Главное с умом подходить к выбору того, чем пользоваться, а не вестись на рекламу и обещания блогеров)
Так же вы найдете видео про все модные тренды – от одежды до обуви, сумок и аксессуаров. Все тренды собраны в одном месте, представляете?  
Так что, если вы до сих пор слепо верите бьюти-блогам и люкс-косметика-ваша религия, советую посмотреть мои видео ;-) 
Видео не спонсировано."
16,16,01G33C0TFTY,10 ПАРОДИЙ ПРЕВЗОШЕДШИХ ОРИГИНАЛ #2 | ЛУЧШИЕ ПАРОДИИ БЛОГЕРОВ НА НАЗОЙЛИВЫЕ ПЕСНИ,ТОП ЮТУБЕР,24,2018-05-27T12:19:32.000Z,пародии превзошедшие оригинал|топ 10 лучших пародий|музыкальные пародии|пародия|оригинал|НД Продакшн|пародии на голоса|FACE - Я РОНЯЮ ЗАПАД|цвет настроения синий|пародия чоткий паца|Элджей - Минимал|Dk пародия|Даня Кашин пародии|Dk Зая|MATRANG - Медуза|киркоров пародия|gazirovka|блэк бакарди|matrang|мари сенн б бесит|ольга бузова пародия|новые песни|топ 5 пародий|блогеры|элджей|фейс|клипы фейса,817045,10565,1796,1028,"10 ПАРОДИЙ ПРЕВЗОШЕДШИХ ОРИГИНАЛ #2 | ЛУЧШИЕ ПАРОДИИ БЛОГЕРОВ НА НАЗОЙЛИВЫЕ ПЕСНИ
Первая часть лучших пародий https://youtu.be/yQ1uTu_dwUs

РЕКЛАМА НА КАНАЛЕ https://goo.gl/r0vv0q
Почта для рекламы и сотрудничества piar.topyoutub@gmail.com
Я Вконтакте https://goo.gl/7WstfC 
Добавляю всех в друзья
Моя партнерка на ютуб http://bit.ly/2r0vLg5
НАША ГРУППА ВКОНТАКТЕ https://vk.com/youtubertop
У НАС МНОГО КОНКУРСОВ!
Твиттер https://twitter.com/youtuber_top

В этом видео вы услышите топ 10 лучших пародий превзошедших оригинал. ЛУЧШИЕ ПАРОДИИ БЛОГЕРОВ НА НАЗОЙЛИВЫЕ ПЕСНИ

Песни из видео:
1. https://youtu.be/ZGEoqPpJQLE
2. https://youtu.be/8E7sILZdPcM
3. https://youtu.be/l3XIJgA8OZk
4. https://youtu.be/vweQ62Mpf2M
5. https://youtu.be/HNHbQXnTWbw
6. https://youtu.be/iiFSq7HR4wo
7. https://youtu.be/0aw0M5CBqT8
8. https://youtu.be/p4hutMcSDqQ
9. https://youtu.be/3w6EgsKzNLM
10. https://youtu.be/H7PjLcOWRck
11. https://youtu.be/4Gy98w4svJM
12. https://youtu.be/t6U7oN4ktHI
13. https://youtu.be/iTC8z70lCZQ
14. https://youtu.be/5CfdA1Yoquk
15. https://youtu.be/Ro6GHxFj8uk
16. https://youtu.be/T-jdWty7Q1g
17. https://youtu.be/IAuzNXGmkL4
18. https://youtu.be/QvGukoPKhV4
19. https://youtu.be/uHwIxX9KHeg
20. https://youtu.be/4uvmkHOUUao"
17,17,geCGNY2K07E,Я НЕНАВИЖУ ЭТИХ 2 ... (Анимация),Pastime Time,24,2018-12-21T12:39:35.000Z,анимация|истории|история из|из жизни|история волос|рассказ|история из жизни|стори|анимация мирби|мультик|мультфильм|мульт|мульт анимация|фильмы и анимация|для детей|мои истории|озвучка,1290923,57520,2522,6747,"Здесь вы можете поддержать мою озвучку денюжкой и комментарием :) (https://www.donationalerts.com/r/natasha_4765) 

ВСЕ ВОПРОСЫ ПО РЕКЛАМЕ СЮДА: https://vk.com/natasha_1433 

А еще у меня есть Instagram зайди подпишись)Я старалась) @stupid__ducky (https://www.instagram.com/stupid__ducky/ )Вот ссылочка :) 

Original: https://www.youtube.com/channel/UCDQBZcjYKP1J1Nu-Y0_D37Q

Спасибо Маше за перевод :)

Подпишись на мою группу ВК (https://vk.com/public174056487) :)"
18,18,YaD9bm_1xzE,"СТРИМ №91 - Короткий СТРИМ от Дмитрия Назаренка, Вата Шоу и Уткин ТВ! Простое общение друзей в Эфире",Уткин ТВ Life,24,2019-11-20T20:32:17.000Z,уткин тв|пранк|уткин|дмитрий назаренко|вата шоу|андрей полтава|стрим|стримы|пранки|прикол|приколы|уткин тв лайф|уткин тв life|телефонные пранки|пранк под вебкой|webcam|prank|pranks,5499,345,21,28,"ВСЕ НАШИ ТУТ: Пашка Потон, Андрей Полтава, Женька Вольнов, Канал Киевская Русь, Андрей Луганский, Артур Квадрат, Миротворец и кого тут только нет..

ЕСЛИ ЗАКАЗЫВАЕТЕ ЗВОНОК ДРУГУ, ПОСЛЕ НОМЕРА ТЕЛЕФОНА СТАВЬТЕ - .com, И НОМЕР НЕ БУДЕТ ПОКАЗАН В ЭФИРЕ!!

Ссылка для доната - https://donatepay.ru/don/228437
(Для Украины гривна автоматически переводится в рубли)

Донат на Алерц - https://www.donationalerts.com/r/nazar_kh

Instagram Уткина - https://www.instagram.com/alexey_ytkin_tv/
Instagram  Назаренка - https://instagram.com/nazarenko_kh
(Но там нечего смотреть)
Facebook - https://www.facebook.com/alexey.ytkin.tv

Telegram акк - @nazareko_kh (во время Стрима писать сюда)
Telegram акк - @Ytkintv
Telegram канал Уткин ТВ пранки в Mp3 формате - https://t.me/ytkin_tv85

Telegram чат где происходит круглосуточное унижение Назаренка всеми участниками - https://t.me/StopFakeChat или https://t.me/StopFake_Group

Основной канал Уткин ТВ - https://www.youtube.com/channel/UCOi2Iy4adkQgix0nH96vYjA

Канал Дмитрия Назаренка - https://www.youtube.com/channel/UCV8IhojXl8JYg1YvrrLWQdw"
19,19,wJ_543pJnHg,ВЫПУСКНОЙ | Пародия | MATRANG - Медуза | 16+,Мамкины Блогеры,24,2018-06-23T07:00:04.000Z,матранг|матранг медуза|матранг песни|матранг вода|медуза|слушать матранг|матранг пародия|матранг пародия выпускной|выпускной 2018|матранг слушать|вода матранг|матранг медуза скачать|медуза песня|дисс|слаа кпсс|версус|школа выпускной 2018|выпускной медуза|пародия|чоткий паца|тилэкс пародия,893804,22759,1095,446,"Песня ""ВЫПУСКНОЙ"" - пародия на клип MATRANG - Медуза
__________________________________________________________
ДИСКЛЕЙМЕР!!!

Мы понимаем, что события, описанные в данном видео, являются абсолютно невозможными в реальной жизни.

Этот сюрреалистически-фантастический бред - лишь плод больного воображения авторов.

А авторы никогда не заканчивали школу.
__________________________________________________________

возможно, потому что они в ней еще учатся...
__________________________________________________________
Instagram - https://www.instagram.com/mamkiny_blogery/
VK - https://vk.com/mamkiny_blogery"
20,20,7nO30k8G-OE,олимпийская чемпионка по фигурному катанию - Алина Загитова и Евгения Медведева,aachen vater174,22,2018-02-14T16:41:31.000Z,олимпийская чемпионка|Евгения Медведева|установила новый мировой рекорд|новый мировой рекорд|мировой рекорд|в фигурном катании|фигурное катание|Алина Загитова|олимпиада 2018|олимпиада|Чемпионка Европы,313265,2456,136,805,"1 Алина Загитова @azagitova российская фигуристка, выступающая в женском одиночном катании. Олимпийская чемпионка 2018 в личных соревнованиях, серебряный призёр в командных соревнованиях. Чемпионка Европы 2018 года. 
Алина Загитова установила мировой рекорд по сумме баллов в короткой программе на Олимпийских играх в южнокорейском Пхенчхане, побив результат Евгении Медведевой. 
За свое выступление Загитова получила 82,92 балла. Медведева откатала программу на 81,61 балл, обновив свой предыдущий рекорд.
1 Евгения Медведева @jmedvedevaj российская фигуристка, выступающая в женском одиночном катании. Двукратный серебряный призёр Олимпийских игр 2018. Двукратная чемпионка мира 2016 и 2017 годов, двукратная чемпионка Европы 2016 и 2017"
21,21,ffbnlwvYu4A,Топ10 БЕСПОЛЕЗНЫХ Вещей в Твоей Жизни!,telblog.net,24,2018-01-04T16:02:48.000Z,Face|ВК|В контакте|Ютуб|Iphone|Спиннер|Школа,632496,29628,3611,7041,"ВКонтакте ► http://telblog.net/vk
Автор Канала ► http://telblog.net/avtor
Одноклассники ► http://telblog.net/okru
2 Канал ► http://telblog.net/2ch
Реклама ► http://telblog.net/ad

=======================
Что самое бесполезное в твоей жизни? Соцсети, школа или домашнее задание?"
22,22,s5Mof8rEIJs,Шавкат Рахмонов нокаутом победил бразильца. Новинка. Полное видео. Рус озвучка.,ASA-TV,17,2019-06-28T22:29:31.000Z,Шавкат Рахмонов|шавкат рахмонов нокаут|шавкат рахмонов выйграл|шавкат рахмонов победил|шавкат рахмонов чемпион|шавкат рахмонов UFC|шавкат рахмнов юфс|м1глобал|нокаут|видео|2019|казахстан|казахи|мма,176508,4050,93,626,"28.06.2019г в городе Астана Казахстана состоялся турнир м1 глобал, в котором чемпион Шавкат Рахмонов нокаутом победил бразильца, тем самым защитил титул чемпиона"
23,23,f18-9yAp2sE,5 ХУДШИХ РУССКИХ КЛИПОВ НА ЮТУБЕ | ТИМАТИ | FACE | Марьяна Ро | Егор Крид,ПРИЯТНЫЙ ИЛЬДАР,22,2018-06-08T12:20:51.000Z,приятный ильдар|худшие|5 худших русских клипов|худшие русские клипы|юлия самойлова|егор крид|крид|тимати|Тимати feat. Егор Крид - Гучи|гучи|марьяна ро|марьяна ро вжух 2.0|face|face я роняю запад|я роняю запад|фэйс|фейс|лиззка|лиззка в президенты|вжух 2.0|обзор клипов|реакция на клипы|приятный ильдар реагирует,1773575,104088,6476,4236,"Доброго времени суток мои приятные молодые люди. Прошел почти год с момента публикации моего последнего ролика «5 худших русских видео на ютубе». Естественно за это время интернет породил кучу годных и не очень роликов, количество дизлайков на которых было в некоторых случаях равно практически нулю, а в некоторых дизлайк был основной оценкой видеоролика. Когда я отобрал 5 роликов с самым большим количеством дизлайков я понял, что все эти видео так или иначе имеют отношение к музыке. По этому прошу любить и жаловать, 5 худших русских клипов на ютубе!

Оригинальные клипы, взятые в ролик:
Julia Samoylova - I Won’t Break - Russia - LIVE - Second Semi-Final - Eurovision 2018 - https://youtu.be/KujGHwyfMWM
ВЖУХ 2.0 - https://youtu.be/zWQ4_PBBNfE
лиззка – в президенты - https://youtu.be/XIEjYCcTi1o
Тимати feat. Егор Крид - Гучи (премьера клипа, 2018) - https://youtu.be/HfRZ67HSDdA
FACE - Я РОНЯЮ ЗАПАД (prod. by JuloOntheTrack) - https://youtu.be/ZGEoqPpJQLE

Я в инстаграме - https://www.instagram.com/masterildar
------------------------------------------------------------
►►► Подписаться на канал - https://goo.gl/BFPlWN ◄◄◄
------------------------------------------------------------
Я в вк - https://vk.com/mastrildar
Я в инстаграме - https://www.instagram.com/masterildar
Я в телеграме - https://t.me/unpleasent
Я в твиттере - https://twitter.com/master_ildar
Паблик в вк - https://vk.com/pleasentildar"
